Id;Description;new_description;new_description_str;keywords
12.7.1;Percentage of educational institutions with formal and informal education curricula on sustainable development and lifestyle topics.;['educational', 'institution', 'formal', 'informal', 'education', 'curriculum', 'sustainable', 'development', 'lifestyle', 'topic'];percentage of educational institutions with formal and informal education curricula on sustainable development and lifestyle topics;[['institutions', 'formal'], ['educational'], ['development', 'lifestyle'], ['education', 'curricula'], ['sustainable', 'development'], ['institutions']]
12.8.1;Number of qualified green patent applications over total.;['qualified', 'green', 'patent', 'application'];number of qualified green patent applications over total;[['patent', 'applications'], ['qualified', 'green'], ['applications'], ['patent'], ['green'], ['qualified']]
12.9.1;"Residual flows generated as a result of tourism; direct GDP.";['residual', 'flow', 'generated', 'result', 'tourism', 'direct', 'gdp'];residual flows generated as a result of tourism direct gdp;[['direct', 'gdp'], ['result'], ['generated'], ['direct'], ['residual', 'flows'], ['tourism']]
13.1.1;Number of deaths, missing people, injured, relocated or evacuated due to disasters per 100,000 people.;['death', 'missing', 'people', 'injured', 'relocated', 'evacuated', 'disaster'];number of deaths missing people injured relocated or evacuated due to disasters per people;[['people'], ['injured', 'relocated'], ['deaths'], ['injured'], ['evacuated', 'disasters'], ['missing']]
13.2.1;Number of departments that have formally communicated the establishment of integrated low- carbon, climate-resilient, disaster risk reduction development strategies (e.g. a state adaptation plan process, national policies and measures to promote the transition to environmentally friendly substances and technologies).;['department', 'formally', 'communicated', 'establishment', 'integrated', 'low', 'carbon', 'climate', 'resilient', 'disaster', 'risk', 'reduction', 'development', 'strategy', 'eg', 'state', 'adaptation', 'plan', 'process', 'national', 'policy', 'measure', 'promote', 'transition', 'environmentally', 'friendly', 'substance', 'technology'];number of departments that have formally communicated the establishment of integrated low carbon climate resilient disaster risk reduction development strategies eg a state adaptation plan process national policies and measures to promote the transition to environmentally friendly substances and technologies;[['plan', 'process'], ['process', 'national'], ['policies', 'measures'], ['promote', 'transition'], ['development'], ['integrated', 'low']]
13.3.1;Number of institutions that have integrated mitigation, adaptation, impact reduction and early warning into primary, secondary and tertiary curricula.;['institution', 'integrated', 'mitigation', 'adaptation', 'impact', 'reduction', 'early', 'warning', 'primary', 'secondary', 'tertiary', 'curriculum'];number of institutions that have integrated mitigation adaptation impact reduction and early warning into primary secondary and tertiary curricula;[['institutions', 'integrated'], ['early', 'warning'], ['impact'], ['early'], ['primary'], ['institutions']]
14.1.1;Forest area as a percentage of total land area.;['forest', 'area', 'land'];forest area as a percentage of total land area;[['land', 'area'], ['area', 'land'], ['area'], ['forest', 'area'], ['land'], ['forest']]
14.2.1;Forest cover under sustainable forest management.;['forest', 'cover', 'sustainable', 'management'];forest cover under sustainable forest management;[['forest', 'management'], ['forest'], ['cover', 'sustainable'], ['management'], ['sustainable'], ['cover']]
14.2.2;Net permanent forest loss.;['net', 'permanent', 'forest', 'loss'];net permanent forest loss;[['forest', 'loss'], ['net', 'permanent'], ['loss'], ['net'], ['forest'], ['permanent']]
14.3.1;Percentage of land that is degraded over total land area.;['land', 'degraded', 'area'];percentage of land that is degraded over total land area;[['land', 'area'], ['land'], ['area'], ['land', 'degraded'], ['degraded', 'land'], ['degraded']]
14.4.1;Coverage by protected areas of important sites for mountain biodiversity.;['coverage', 'protected', 'area', 'important', 'site', 'mountain', 'biodiversity'];coverage by protected areas of important sites for mountain biodiversity;[['areas'], ['coverage', 'protected'], ['important'], ['sites'], ['mountain', 'biodiversity'], ['protected']]
14.4.2;Mountain Green Cover Index.;['mountain', 'green', 'cover', 'index'];mountain green cover index;[['cover', 'index'], ['mountain', 'green'], ['index'], ['green'], ['cover'], ['mountain']]
14.5.1;Red List Index.;['red', 'list', 'index'];red list index;[['red'], ['list'], ['index']]
14.6.1;Number of permits or their equivalents made available to the Access and Benefit-sharing Clearing-House established under the Nagoya Protocol on Access and Benefit-sharing and number of standard material transfer agreements, as communicated to the Governing Body of the International Treaty on Plant Genetic Resources for Food and Agriculture.;['permit', 'equivalent', 'made', 'available', 'access', 'benefit', 'sharing', 'clearing', 'house', 'established', 'nagoya', 'protocol', 'standard', 'material', 'transfer', 'agreement', 'communicated', 'governing', 'body', 'international', 'treaty', 'plant', 'genetic', 'resource', 'food', 'agriculture'];number of permits or their equivalents made available to the access and benefit sharing clearing house established under the nagoya protocol on access and benefit sharing and number of standard material transfer agreements as communicated to the governing body of the international treaty on plant genetic resources for food and agriculture;[['house', 'established'], ['body', 'international'], ['benefit', 'sharing'], ['resources', 'food'], ['standard', 'material'], ['material', 'transfer']]
14.7.1;Red List Index for species in trade.;['red', 'list', 'index', 'specie', 'trade'];red list index for species in trade;[['list', 'index'], ['list'], ['trade'], ['index'], ['red'], ['species']]
14.7.2;Proportion of detected trade in wildlife and wildlife products that is illegal.;['detected', 'trade', 'wildlife', 'product', 'illegal'];proportion of detected trade in wildlife and wildlife products that is illegal;[['products'], ['trade'], ['illegal'], ['wildlife'], ['wildlife', 'wildlife'], ['detected']]
14.8.1;Adoption of national legislation relevant to the prevention or control of invasive alien species.;['adoption', 'national', 'legislation', 'relevant', 'prevention', 'control', 'invasive', 'alien', 'specie'];adoption of national legislation relevant to the prevention or control of invasive alien species;[['relevant', 'prevention'], ['control', 'invasive'], ['control'], ['legislation'], ['alien', 'species'], ['national']]
14.9.1;Number of national development plans and processes integrating biodiversity and ecosystem services values.;['national', 'development', 'plan', 'process', 'integrating', 'biodiversity', 'ecosystem', 'service', 'value'];number of national development plans and processes integrating biodiversity and ecosystem services values;[['services', 'values'], ['development'], ['processes', 'integrating'], ['services'], ['integrating', 'biodiversity'], ['national']]
14.10.1;Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems.;['official', 'development', 'assistance', 'public', 'expenditure', 'conservation', 'sustainable', 'biodiversity', 'ecosystem'];official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems;[['official', 'development'], ['development', 'assistance'], ['sustainable', 'biodiversity'], ['public', 'expenditure'], ['conservation'], ['public']]
14.11.1;Forestry official development assistance and forestry foreign direct investment.;['forestry', 'official', 'development', 'assistance', 'foreign', 'direct', 'investment'];forestry official development assistance and forestry foreign direct investment;[['assistance', 'forestry'], ['forestry', 'official'], ['foreign', 'direct'], ['development'], ['investment'], ['foreign']]
14.12.1;Proportion of detected trade in wildlife and wildlife products that is illegal.;['detected', 'trade', 'wildlife', 'product', 'illegal'];proportion of detected trade in wildlife and wildlife products that is illegal;[['products'], ['trade'], ['illegal'], ['wildlife'], ['wildlife', 'wildlife'], ['detected']]
15.1.1;Conflict-related deaths per 100,000 population (disaggregated by age group, sex and cause).;['conflict', 'related', 'death', 'population', 'disaggregated', 'age', 'group', 'sex', 'cause'];conflict related deaths per population disaggregated by age group sex and cause;[['conflict', 'related'], ['group', 'sex'], ['population'], ['related'], ['deaths'], ['age']]
15.1.2;Percentage of the population subjected to physical, psychological or sexual violence in the previous 12 months.;['population', 'subjected', 'physical', 'psychological', 'sexual', 'violence', 'previous', 'month'];percentage of the population subjected to physical psychological or sexual violence in the previous months;[['sexual', 'violence'], ['months'], ['population', 'subjected'], ['physical', 'psychological'], ['previous'], ['physical']]
15.1.3;Proportion of people that feel safe walking alone around the area they live.;['people', 'feel', 'safe', 'walking', 'alone', 'around', 'area', 'live'];proportion of people that feel safe walking alone around the area they live;[['people'], ['area', 'live'], ['feel', 'safe'], ['around'], ['safe', 'walking'], ['alone']]
15.2.1;Percentage of children aged 1-17 who experienced any physical punishment and/or psychological aggression by caregivers in the past month.;['child', 'aged', 'experienced', 'physical', 'punishment', 'psychological', 'aggression', 'caregiver', 'past', 'month'];percentage of children aged who experienced any physical punishment and or psychological aggression by caregivers in the past month;[['children'], ['physical', 'punishment'], ['month'], ['aged', 'experienced'], ['past'], ['punishment', 'psychological']]
15.2.2;Number of victims of human trafficking per 100,000 population, by sex, age group and form of exploitation.;['victim', 'human', 'trafficking', 'population', 'sex', 'age', 'group', 'form', 'exploitation'];number of victims of human trafficking per population by sex age group and form of exploitation;[['victims', 'human'], ['sex', 'age'], ['human', 'trafficking'], ['group', 'form'], ['form', 'exploitation'], ['population']]
15.2.3;Percentage of young women and men aged 18-24 who experienced sexual violence by age 18.;['young', 'woman', 'men', 'aged', 'experienced', 'sexual', 'violence', 'age'];percentage of young women and men aged who experienced sexual violence by age;[['violence', 'age'], ['women'], ['young'], ['men'], ['age'], ['experienced', 'sexual']]
15.3.1;Percentage of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms (also called crime reporting rate).;['victim', 'violence', 'previous', 'month', 'reported', 'victimization', 'competent', 'authority', 'officially', 'recognized', 'conflict', 'resolution', 'mechanism', 'also', 'called', 'crime', 'reporting'];percentage of victims of violence in the previous months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms also called crime reporting rate;[['also'], ['called', 'crime'], ['victims', 'violence'], ['recognized', 'conflict'], ['months'], ['authorities', 'officially']]
15.3.2;Unsentenced detainees as a percentage of overall prison population.;['unsentenced', 'detainee', 'overall', 'prison', 'population'];unsentenced detainees as a percentage of overall prison population;[['population'], ['overall'], ['prison'], ['unsentenced', 'detainees'], ['detainees'], ['unsentenced']]
15.4.1;Total value of inward and outward illicit financial flows (in current United States dollars).;['value', 'inward', 'outward', 'illicit', 'financial', 'flow', 'current', 'united', 'state', 'dollar'];total value of inward and outward illicit financial flows in current united states dollars;[['flows', 'current'], ['states'], ['illicit', 'financial'], ['dollars'], ['value', 'inward'], ['united']]
15.4.2;Percentage of seized small arms and light weapons that are recorded and traced, in accordance with international standards and legal instruments.;['seized', 'small', 'arm', 'light', 'weapon', 'recorded', 'traced', 'accordance', 'international', 'standard', 'legal', 'instrument'];percentage of seized small arms and light weapons that are recorded and traced in accordance with international standards and legal instruments;[['weapons', 'recorded'], ['arms', 'light'], ['seized', 'small'], ['standards', 'legal'], ['small'], ['accordance', 'international']]
15.5.1;Percentage of persons who had at least one contact with a public official, who paid a bribe to a public official, or were asked for a bribe by these public officials, in the previous 12 months, disaggregated by age group, sex, region and population group.;['person', 'least', 'one', 'contact', 'public', 'official', 'paid', 'bribe', 'asked', 'previous', 'month', 'disaggregated', 'age', 'group', 'sex', 'region', 'population'];percentage of persons who had at least one contact with a public official who paid a bribe to a public official or were asked for a bribe by these public officials in the previous months disaggregated by age group sex region and population group;[['least', 'one'], ['one'], ['official', 'paid'], ['official', 'asked'], ['contact', 'public'], ['officials']]
15.6.1;Primary government expenditures as a percentage of original approved budget, disaggregated by sector (or by budget codes or similar).;['primary', 'government', 'expenditure', 'original', 'approved', 'budget', 'disaggregated', 'sector', 'code', 'similar'];primary government expenditures as a percentage of original approved budget disaggregated by sector or by budget codes or similar;[['sector', 'budget'], ['government'], ['budget', 'codes'], ['original', 'approved'], ['expenditures', 'original'], ['similar']]
15.6.2;15.6.2 Proportion of the population satisfied with their last experienceof public services.;['population', 'satisfied', 'last', 'experienceof', 'public', 'service'];proportion of the population satisfied with their last experienceof public services;[['experienceof', 'public'], ['last', 'experienceof'], ['last'], ['population'], ['services'], ['satisfied']]
15.7.1;Proportions of positions (by age group, sex, persons with disabilities and population groups) in public institutions (national and local legislatures, public service, and judiciary) compared to national distributions.;['position', 'age', 'group', 'sex', 'person', 'disability', 'population', 'public', 'institution', 'national', 'local', 'legislature', 'service', 'judiciary', 'compared', 'distribution'];proportions of positions by age group sex persons with disabilities and population groups in public institutions national and local legislatures public service and judiciary compared to national distributions;[['public', 'service'], ['compared', 'national'], ['population', 'groups'], ['public'], ['age', 'group'], ['groups']]
15.8.1;Percentage of children under 5 whose births have been registered with a civil authority, disaggregated by age.;['child', 'birth', 'registered', 'civil', 'authority', 'disaggregated', 'age'];percentage of children under whose births have been registered with a civil authority disaggregated by age;[['children'], ['age'], ['civil'], ['registered'], ['authority'], ['births']]
15.9.1;Percentage of RTI cases disposed off.;['rti', 'case', 'disposed'];percentage of rti cases disposed off;[['rti'], ['case'], ['disposed']]
15.9.2;Percentage of Govt. Departments / Organization have all information on their websites.;['govt', 'department', 'organization', 'information', 'website'];percentage of govt departments organization have all information on their websites;[['information'], ['organization'], ['departments'], ['govt', 'departments'], ['websites'], ['govt']]
16.1.1;Total government revenue (by source) as a percentage of GDP.;['government', 'revenue', 'source', 'gdp'];total government revenue by source as a percentage of gdp;[['government', 'revenue'], ['source', 'gdp'], ['government'], ['revenue'], ['gdp'], ['source']]
16.2.1;Number of investment policy reforms adopted that incorporate sustainable development objectives or safeguards.;['investment', 'policy', 'reform', 'adopted', 'incorporate', 'sustainable', 'development', 'objective', 'safeguard'];number of investment policy reforms adopted that incorporate sustainable development objectives or safeguards;[['investment', 'policy'], ['development'], ['policy'], ['incorporate', 'sustainable'], ['reforms'], ['adopted', 'incorporate']]
16.3.1;Fixed Internet broadband subscriptions, by speed.;['fixed', 'internet', 'broadband', 'subscription', 'speed'];fixed internet broadband subscriptions by speed;[['broadband', 'subscriptions'], ['internet'], ['broadband'], ['fixed'], ['speed'], ['subscriptions']]
16.4.1;Total amount of approved funding to promote the development, transfer, dissemination and diffusion of environmentally sound technologies.;['amount', 'approved', 'funding', 'promote', 'development', 'transfer', 'dissemination', 'diffusion', 'environmentally', 'sound', 'technology'];total amount of approved funding to promote the development transfer dissemination and diffusion of environmentally sound technologies;[['development'], ['sound', 'technologies'], ['promote'], ['approved', 'funding'], ['transfer', 'dissemination'], ['amount']]
16.5.1;Proportion of individuals using the Internet.;['individual', 'using', 'internet'];proportion of individuals using the internet;[['individual'], ['using'], ['internet']]
17.1.1;Proportion of sustainable development indicators produced at the state level with full disaggregation when relevant to the target, in accordance with the Fundamental Principles of Official Statistics.;['sustainable', 'development', 'indicator', 'produced', 'state', 'level', 'full', 'disaggregation', 'relevant', 'target', 'accordance', 'fundamental', 'principle', 'official', 'statistic'];proportion of sustainable development indicators produced at the state level with full disaggregation when relevant to the target in accordance with the fundamental principles of official statistics;[['official', 'statistics'], ['level'], ['target', 'accordance'], ['development'], ['full'], ['development', 'indicators']]
17.2.1;Dollar value of all resources made available to strengthen statistical capacity.;['dollar', 'value', 'resource', 'made', 'available', 'strengthen', 'statistical', 'capacity'];dollar value of all resources made available to strengthen statistical capacity;[['dollar', 'value'], ['statistical', 'capacity'], ['value'], ['available'], ['resources'], ['strengthen', 'statistical']]
17.2.2;Inclusive Wealth Index.;['inclusive', 'wealth', 'index'];inclusive wealth index;[['inclusive'], ['wealth'], ['index']]
